[2024-12-06T17:52:46.426+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:52:46.435+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [queued]>
[2024-12-06T17:52:46.439+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:52:46.445+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2024-08-02 06:00:00+00:00
[2024-12-06T17:52:46.449+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:72} INFO - Started process 2461 to run task
[2024-12-06T17:52:46.450+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2024-08-02T06:00:00+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjodmkcm5']
[2024-12-06T17:52:46.452+0000] {standard_task_runner.py:105} INFO - Job 64: Subtask wget
[2024-12-06T17:52:46.729+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2024-08-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:52:48.314+0000] {subprocess.py:106} INFO -   8900K .......... .......... .......... .......... .......... 17% 2.91M 3s
[2024-12-06T17:52:48.316+0000] {subprocess.py:106} INFO -   8950K .......... .......... .......... .......... .......... 18%  127M 3s
[2024-12-06T17:52:48.316+0000] {subprocess.py:106} INFO -   9000K .......... .......... .......... .......... .......... 18%  156M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9050K .......... .......... .......... .......... .......... 18%  146M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9100K .......... .......... .......... .......... .......... 18%  181M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9150K .......... .......... .......... .......... .......... 18%  218M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9200K .......... .......... .......... .......... .......... 18%  181M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9250K .......... .......... .......... .......... .......... 18%  210M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9300K .......... .......... .......... .......... .......... 18% 86.0M 3s
[2024-12-06T17:52:48.317+0000] {subprocess.py:106} INFO -   9350K .......... .......... .......... .......... .......... 18%  203M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9400K .......... .......... .......... .......... .......... 18%  220M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9450K .......... .......... .......... .......... .......... 19%  230M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9500K .......... .......... .......... .......... .......... 19%  228M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9550K .......... .......... .......... .......... .......... 19%  237M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9600K .......... .......... .......... .......... .......... 19%  269M 3s
[2024-12-06T17:52:48.318+0000] {subprocess.py:106} INFO -   9650K .......... .......... .......... .......... .......... 19%  237M 2s
[2024-12-06T17:52:48.334+0000] {subprocess.py:106} INFO -   9700K .......... .......... .......... .......... .......... 19% 2.97M 3s
[2024-12-06T17:52:48.335+0000] {subprocess.py:106} INFO -   9750K .......... .......... .......... .......... .......... 19% 40.5M 3s
[2024-12-06T17:52:48.336+0000] {subprocess.py:106} INFO -   9800K .......... .......... .......... .......... .......... 19% 28.5M 3s
[2024-12-06T17:52:48.338+0000] {subprocess.py:106} INFO -   9850K .......... .......... .......... .......... .......... 19% 27.8M 3s
[2024-12-06T17:52:48.341+0000] {subprocess.py:106} INFO -   9900K .......... .......... .......... .......... .......... 19% 16.0M 3s
[2024-12-06T17:52:48.342+0000] {subprocess.py:106} INFO -   9950K .......... .......... .......... .......... .......... 20%  134M 2s
[2024-12-06T17:52:48.342+0000] {subprocess.py:106} INFO -  10000K .......... .......... .......... .......... .......... 20% 67.1M 2s
[2024-12-06T17:52:48.343+0000] {subprocess.py:106} INFO -  10050K .......... .......... .......... .......... .......... 20%  124M 2s
[2024-12-06T17:52:48.343+0000] {subprocess.py:106} INFO -  10100K .......... .......... .......... .......... .......... 20%  198M 2s
[2024-12-06T17:52:48.343+0000] {subprocess.py:106} INFO -  10150K .......... .......... .......... .......... .......... 20%  148M 2s
[2024-12-06T17:52:48.379+0000] {subprocess.py:106} INFO -  10200K .......... .......... .......... .......... .......... 20% 1.40M 3s
[2024-12-06T17:52:48.384+0000] {subprocess.py:106} INFO -  10250K .......... .......... .......... .......... .......... 20%  129M 3s
[2024-12-06T17:52:48.387+0000] {subprocess.py:106} INFO -  10300K .......... .......... .......... .......... .......... 20%  153M 3s
[2024-12-06T17:52:48.387+0000] {subprocess.py:106} INFO -  10350K .......... .......... .......... .......... .......... 20%  145M 3s
[2024-12-06T17:52:48.387+0000] {subprocess.py:106} INFO -  10400K .......... .......... .......... .......... .......... 20%  112M 3s
[2024-12-06T17:52:48.388+0000] {subprocess.py:106} INFO -  10450K .......... .......... .......... .......... .......... 21% 13.2M 3s
[2024-12-06T17:52:48.388+0000] {subprocess.py:106} INFO -  10500K .......... .......... .......... .......... .......... 21%  163M 2s
[2024-12-06T17:52:48.389+0000] {subprocess.py:106} INFO -  10550K .......... .......... .......... .......... .......... 21%  109M 2s
[2024-12-06T17:52:48.389+0000] {subprocess.py:106} INFO -  10600K .......... .......... .......... .......... .......... 21% 90.3M 2s
[2024-12-06T17:52:48.390+0000] {subprocess.py:106} INFO -  10650K .......... .......... .......... .......... .......... 21%  146M 2s
[2024-12-06T17:52:48.390+0000] {subprocess.py:106} INFO -  10700K .......... .......... .......... .......... .......... 21%  115M 2s
[2024-12-06T17:52:48.390+0000] {subprocess.py:106} INFO -  10750K .......... .......... .......... .......... .......... 21%  176M 2s
[2024-12-06T17:52:48.391+0000] {subprocess.py:106} INFO -  10800K .......... .......... .......... .......... .......... 21% 98.2M 2s
[2024-12-06T17:52:48.393+0000] {subprocess.py:106} INFO -  10850K .......... .......... .......... .......... .......... 21% 29.7M 2s
[2024-12-06T17:52:48.394+0000] {subprocess.py:106} INFO -  10900K .......... .......... .......... .......... .......... 21% 29.9M 2s
[2024-12-06T17:52:48.394+0000] {subprocess.py:106} INFO -  10950K .......... .......... .......... .......... .......... 22% 36.5M 2s
[2024-12-06T17:52:48.398+0000] {subprocess.py:106} INFO -  11000K .......... .......... .......... .......... .......... 22% 70.5M 2s
[2024-12-06T17:52:48.398+0000] {subprocess.py:106} INFO -  11050K .......... .......... .......... .......... .......... 22%  169M 2s
[2024-12-06T17:52:48.404+0000] {subprocess.py:106} INFO -  11100K .......... .......... .......... .......... .......... 22%  105M 2s
[2024-12-06T17:52:48.405+0000] {subprocess.py:106} INFO -  11150K .......... .......... .......... .......... .......... 22% 78.8M 2s
[2024-12-06T17:52:48.405+0000] {subprocess.py:106} INFO -  11200K .......... .......... .......... .......... .......... 22% 76.5M 2s
[2024-12-06T17:52:48.406+0000] {subprocess.py:106} INFO -  11250K .......... .......... .......... .......... .......... 22% 9.52M 2s
[2024-12-06T17:52:48.406+0000] {subprocess.py:106} INFO -  11300K .......... .......... .......... .......... .......... 22%  228M 2s
[2024-12-06T17:52:48.406+0000] {subprocess.py:106} INFO -  11350K .......... .......... .......... .......... .......... 22%  225M 2s
[2024-12-06T17:52:48.406+0000] {subprocess.py:106} INFO -  11400K .......... .......... .......... .......... .......... 22%  165M 2s
[2024-12-06T17:52:48.406+0000] {subprocess.py:106} INFO -  11450K .......... .......... .......... .......... .......... 23%  102M 2s
[2024-12-06T17:52:48.407+0000] {subprocess.py:106} INFO -  11500K .......... .......... .......... .......... .......... 23%  161M 2s
[2024-12-06T17:52:48.407+0000] {subprocess.py:106} INFO -  11550K .......... .......... .......... .......... .......... 23%  188M 2s
[2024-12-06T17:52:48.407+0000] {subprocess.py:106} INFO -  11600K .......... .......... .......... .......... .......... 23%  224M 2s
[2024-12-06T17:52:48.407+0000] {subprocess.py:106} INFO -  11650K .......... .......... .......... .......... .......... 23%  245M 2s
[2024-12-06T17:52:48.407+0000] {subprocess.py:106} INFO -  11700K .......... .......... .......... .......... .......... 23%  266M 2s
[2024-12-06T17:52:48.408+0000] {subprocess.py:106} INFO -  11750K .......... .......... .......... .......... .......... 23%  226M 2s
[2024-12-06T17:52:48.408+0000] {subprocess.py:106} INFO -  11800K .......... .......... .......... .......... .......... 23% 86.8M 2s
[2024-12-06T17:52:48.408+0000] {subprocess.py:106} INFO -  11850K .......... .......... .......... .......... .......... 23%  168M 2s
[2024-12-06T17:52:48.408+0000] {subprocess.py:106} INFO -  11900K .......... .......... .......... .......... .......... 23%  190M 2s
[2024-12-06T17:52:48.409+0000] {subprocess.py:106} INFO -  11950K .......... .......... .......... .......... .......... 24%  103M 2s
[2024-12-06T17:52:48.409+0000] {subprocess.py:106} INFO -  12000K .......... .......... .......... .......... .......... 24%  210M 2s
[2024-12-06T17:52:48.410+0000] {subprocess.py:106} INFO -  12050K .......... .......... .......... .......... .......... 24%  142M 2s
[2024-12-06T17:52:48.410+0000] {subprocess.py:106} INFO -  12100K .......... .......... .......... .......... .......... 24%  171M 2s
[2024-12-06T17:52:48.410+0000] {subprocess.py:106} INFO -  12150K .......... .......... .......... .......... .......... 24% 87.6M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12200K .......... .......... .......... .......... .......... 24%  153M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12250K .......... .......... .......... .......... .......... 24%  177M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12300K .......... .......... .......... .......... .......... 24%  208M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12350K .......... .......... .......... .......... .......... 24%  137M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12400K .......... .......... .......... .......... .......... 24% 96.5M 2s
[2024-12-06T17:52:48.411+0000] {subprocess.py:106} INFO -  12450K .......... .......... .......... .......... .......... 25%  224M 2s
[2024-12-06T17:52:48.412+0000] {subprocess.py:106} INFO -  12500K .......... .......... .......... .......... .......... 25%  234M 2s
[2024-12-06T17:52:48.412+0000] {subprocess.py:106} INFO -  12550K .......... .......... .......... .......... .......... 25%  183M 2s
[2024-12-06T17:52:48.412+0000] {subprocess.py:106} INFO -  12600K .......... .......... .......... .......... .......... 25%  228M 2s
[2024-12-06T17:52:48.412+0000] {subprocess.py:106} INFO -  12650K .......... .......... .......... .......... .......... 25%  221M 2s
[2024-12-06T17:52:48.413+0000] {subprocess.py:106} INFO -  12700K .......... .......... .......... .......... .......... 25%  174M 2s
[2024-12-06T17:52:48.413+0000] {subprocess.py:106} INFO -  12750K .......... .......... .......... .......... .......... 25%  218M 2s
[2024-12-06T17:52:48.413+0000] {subprocess.py:106} INFO -  12800K .......... .......... .......... .......... .......... 25%  214M 2s
[2024-12-06T17:52:48.413+0000] {subprocess.py:106} INFO -  12850K .......... .......... .......... .......... .......... 25% 36.8M 2s
[2024-12-06T17:52:48.414+0000] {subprocess.py:106} INFO -  12900K .......... .......... .......... .......... .......... 25% 27.6M 2s
[2024-12-06T17:52:48.424+0000] {subprocess.py:106} INFO -  12950K .......... .......... .......... .......... .......... 26% 3.77M 2s
[2024-12-06T17:52:48.425+0000] {subprocess.py:106} INFO -  13000K .......... .......... .......... .......... .......... 26% 48.3M 2s
[2024-12-06T17:52:48.429+0000] {subprocess.py:106} INFO -  13050K .......... .......... .......... .......... .......... 26% 51.5M 2s
[2024-12-06T17:52:48.431+0000] {subprocess.py:106} INFO -  13100K .......... .......... .......... .......... .......... 26% 81.3M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13150K .......... .......... .......... .......... .......... 26% 86.2M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13200K .......... .......... .......... .......... .......... 26%  147M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13250K .......... .......... .......... .......... .......... 26%  209M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13300K .......... .......... .......... .......... .......... 26%  207M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13350K .......... .......... .......... .......... .......... 26%  112M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13400K .......... .......... .......... .......... .......... 26%  145M 2s
[2024-12-06T17:52:48.432+0000] {subprocess.py:106} INFO -  13450K .......... .......... .......... .......... .......... 27%  223M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13500K .......... .......... .......... .......... .......... 27%  117M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13550K .......... .......... .......... .......... .......... 27%  172M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13600K .......... .......... .......... .......... .......... 27% 90.0M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13650K .......... .......... .......... .......... .......... 27% 96.5M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13700K .......... .......... .......... .......... .......... 27%  232M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13750K .......... .......... .......... .......... .......... 27%  177M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13800K .......... .......... .......... .......... .......... 27%  209M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13850K .......... .......... .......... .......... .......... 27%  186M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13900K .......... .......... .......... .......... .......... 27%  272M 2s
[2024-12-06T17:52:48.433+0000] {subprocess.py:106} INFO -  13950K .......... .......... .......... .......... .......... 28%  235M 2s
[2024-12-06T17:52:48.434+0000] {subprocess.py:106} INFO -  14000K .......... .......... .......... .......... .......... 28%  279M 2s
[2024-12-06T17:52:48.434+0000] {subprocess.py:106} INFO -  14050K .......... .......... .......... .......... .......... 28%  291M 2s
[2024-12-06T17:52:48.470+0000] {subprocess.py:106} INFO -  14100K .......... .......... .......... .......... .......... 28% 1.39M 2s
[2024-12-06T17:52:48.471+0000] {subprocess.py:106} INFO -  14150K .......... .......... .......... .......... .......... 28%  205M 2s
[2024-12-06T17:52:48.471+0000] {subprocess.py:106} INFO -  14200K .......... .......... .......... .......... .......... 28% 62.2M 2s
[2024-12-06T17:52:48.471+0000] {subprocess.py:106} INFO -  14250K .......... .......... .......... .......... .......... 28% 85.6M 2s
[2024-12-06T17:52:48.472+0000] {subprocess.py:106} INFO -  14300K .......... .......... .......... .......... .......... 28% 60.6M 2s
[2024-12-06T17:52:48.472+0000] {subprocess.py:106} INFO -  14350K .......... .......... .......... .......... .......... 28%  196M 2s
[2024-12-06T17:52:48.472+0000] {subprocess.py:106} INFO -  14400K .......... .......... .......... .......... .......... 28%  186M 2s
[2024-12-06T17:52:48.472+0000] {subprocess.py:106} INFO -  14450K .......... .......... .......... .......... .......... 29%  191M 2s
[2024-12-06T17:52:48.472+0000] {subprocess.py:106} INFO -  14500K .......... .......... .......... .......... .......... 29%  198M 2s
[2024-12-06T17:52:48.473+0000] {subprocess.py:106} INFO -  14550K .......... .......... .......... .......... .......... 29%  224M 2s
[2024-12-06T17:52:48.473+0000] {subprocess.py:106} INFO -  14600K .......... .......... .......... .......... .......... 29%  220M 2s
[2024-12-06T17:52:48.473+0000] {subprocess.py:106} INFO -  14650K .......... .......... .......... .......... .......... 29%  253M 2s
[2024-12-06T17:52:48.473+0000] {subprocess.py:106} INFO -  14700K .......... .......... .......... .......... .......... 29%  168M 2s
[2024-12-06T17:52:48.473+0000] {subprocess.py:106} INFO -  14750K .......... .......... .......... .......... .......... 29%  227M 2s
[2024-12-06T17:52:48.474+0000] {subprocess.py:106} INFO -  14800K .......... .......... .......... .......... .......... 29%  227M 2s
[2024-12-06T17:52:48.474+0000] {subprocess.py:106} INFO -  14850K .......... .......... .......... .......... .......... 29%  237M 2s
[2024-12-06T17:52:48.515+0000] {subprocess.py:106} INFO -  14900K .......... .......... .......... .......... .......... 29% 1.17M 2s
[2024-12-06T17:52:48.520+0000] {subprocess.py:106} INFO -  14950K .......... .......... .......... .......... .......... 30%  208M 2s
[2024-12-06T17:52:48.520+0000] {subprocess.py:106} INFO -  15000K .......... .......... .......... .......... .......... 30%  240M 2s
[2024-12-06T17:52:48.521+0000] {subprocess.py:106} INFO -  15050K .......... .......... .......... .......... .......... 30%  214M 2s
[2024-12-06T17:52:48.521+0000] {subprocess.py:106} INFO -  15100K .......... .......... .......... .......... .......... 30%  168M 2s
[2024-12-06T17:52:48.529+0000] {subprocess.py:106} INFO -  15150K .......... .......... .......... .......... .......... 30%  239M 2s
[2024-12-06T17:52:48.530+0000] {subprocess.py:106} INFO -  15200K .......... .......... .......... .......... .......... 30%  244M 2s
[2024-12-06T17:52:48.530+0000] {subprocess.py:106} INFO -  15250K .......... .......... .......... .......... .......... 30%  158M 2s
[2024-12-06T17:52:48.530+0000] {subprocess.py:106} INFO -  15300K .......... .......... .......... .......... .......... 30%  192M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15350K .......... .......... .......... .......... .......... 30%  243M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15400K .......... .......... .......... .......... .......... 30%  203M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15450K .......... .......... .......... .......... .......... 31%  263M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15500K .......... .......... .......... .......... .......... 31%  197M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15550K .......... .......... .......... .......... .......... 31%  102M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15600K .......... .......... .......... .......... .......... 31%  240M 2s
[2024-12-06T17:52:48.531+0000] {subprocess.py:106} INFO -  15650K .......... .......... .......... .......... .......... 31%  196M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15700K .......... .......... .......... .......... .......... 31%  180M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15750K .......... .......... .......... .......... .......... 31%  138M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15800K .......... .......... .......... .......... .......... 31%  241M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15850K .......... .......... .......... .......... .......... 31%  157M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15900K .......... .......... .......... .......... .......... 31%  181M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  15950K .......... .......... .......... .......... .......... 32%  224M 2s
[2024-12-06T17:52:48.532+0000] {subprocess.py:106} INFO -  16000K .......... .......... .......... .......... .......... 32%  142M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16050K .......... .......... .......... .......... .......... 32%  180M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16100K .......... .......... .......... .......... .......... 32%  202M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16150K .......... .......... .......... .......... .......... 32%  109M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16200K .......... .......... .......... .......... .......... 32%  250M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16250K .......... .......... .......... .......... .......... 32%  262M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16300K .......... .......... .......... .......... .......... 32%  199M 2s
[2024-12-06T17:52:48.533+0000] {subprocess.py:106} INFO -  16350K .......... .......... .......... .......... .......... 32%  231M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16400K .......... .......... .......... .......... .......... 32%  201M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16450K .......... .......... .......... .......... .......... 33%  236M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16500K .......... .......... .......... .......... .......... 33%  242M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16550K .......... .......... .......... .......... .......... 33%  189M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16600K .......... .......... .......... .......... .......... 33%  173M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16650K .......... .......... .......... .......... .......... 33%  237M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16700K .......... .......... .......... .......... .......... 33%  184M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16750K .......... .......... .......... .......... .......... 33%  159M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16800K .......... .......... .......... .......... .......... 33%  101M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16850K .......... .......... .......... .......... .......... 33%  195M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16900K .......... .......... .......... .......... .......... 33%  244M 2s
[2024-12-06T17:52:48.534+0000] {subprocess.py:106} INFO -  16950K .......... .......... .......... .......... .......... 34%  245M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17000K .......... .......... .......... .......... .......... 34%  247M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17050K .......... .......... .......... .......... .......... 34%  244M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17100K .......... .......... .......... .......... .......... 34%  234M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17150K .......... .......... .......... .......... .......... 34%  199M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17200K .......... .......... .......... .......... .......... 34%  232M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17250K .......... .......... .......... .......... .......... 34%  199M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17300K .......... .......... .......... .......... .......... 34%  257M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17350K .......... .......... .......... .......... .......... 34%  222M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17400K .......... .......... .......... .......... .......... 34%  113M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17450K .......... .......... .......... .......... .......... 35%  255M 2s
[2024-12-06T17:52:48.535+0000] {subprocess.py:106} INFO -  17500K .......... .......... .......... .......... .......... 35%  158M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17550K .......... .......... .......... .......... .......... 35%  220M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17600K .......... .......... .......... .......... .......... 35%  242M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17650K .......... .......... .......... .......... .......... 35%  215M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17700K .......... .......... .......... .......... .......... 35%  241M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17750K .......... .......... .......... .......... .......... 35%  169M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17800K .......... .......... .......... .......... .......... 35%  160M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17850K .......... .......... .......... .......... .......... 35%  168M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17900K .......... .......... .......... .......... .......... 35%  268M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  17950K .......... .......... .......... .......... .......... 36%  233M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  18000K .......... .......... .......... .......... .......... 36%  188M 1s
[2024-12-06T17:52:48.536+0000] {subprocess.py:106} INFO -  18050K .......... .......... .......... .......... .......... 36%  222M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18100K .......... .......... .......... .......... .......... 36%  222M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18150K .......... .......... .......... .......... .......... 36%  275M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18200K .......... .......... .......... .......... .......... 36%  301M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18250K .......... .......... .......... .......... .......... 36%  209M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18300K .......... .......... .......... .......... .......... 36%  303M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18350K .......... .......... .......... .......... .......... 36%  311M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18400K .......... .......... .......... .......... .......... 36%  284M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18450K .......... .......... .......... .......... .......... 37%  307M 1s
[2024-12-06T17:52:48.537+0000] {subprocess.py:106} INFO -  18500K .......... .......... .......... .......... .......... 37%  188M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18550K .......... .......... .......... .......... .......... 37%  271M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18600K .......... .......... .......... .......... .......... 37%  316M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18650K .......... .......... .......... .......... .......... 37%  104M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18700K .......... .......... .......... .......... .......... 37%  277M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18750K .......... .......... .......... .......... .......... 37%  259M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18800K .......... .......... .......... .......... .......... 37%  281M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18850K .......... .......... .......... .......... .......... 37%  264M 1s
[2024-12-06T17:52:48.538+0000] {subprocess.py:106} INFO -  18900K .......... .......... .......... .......... .......... 37%  267M 1s
[2024-12-06T17:52:48.553+0000] {subprocess.py:106} INFO -  18950K .......... .......... .......... .......... .......... 38% 2.46M 1s
[2024-12-06T17:52:48.554+0000] {subprocess.py:106} INFO -  19000K .......... .......... .......... .......... .......... 38% 66.3M 1s
[2024-12-06T17:52:48.556+0000] {subprocess.py:106} INFO -  19050K .......... .......... .......... .......... .......... 38%  116M 1s
[2024-12-06T17:52:48.557+0000] {subprocess.py:106} INFO -  19100K .......... .......... .......... .......... .......... 38%  106M 1s
[2024-12-06T17:52:48.558+0000] {subprocess.py:106} INFO -  19150K .......... .......... .......... .......... .......... 38%  170M 1s
[2024-12-06T17:52:48.559+0000] {subprocess.py:106} INFO -  19200K .......... .......... .......... .......... .......... 38% 67.9M 1s
[2024-12-06T17:52:48.559+0000] {subprocess.py:106} INFO -  19250K .......... .......... .......... .......... .......... 38%  157M 1s
[2024-12-06T17:52:48.560+0000] {subprocess.py:106} INFO -  19300K .......... .......... .......... .......... .......... 38% 90.9M 1s
[2024-12-06T17:52:48.561+0000] {subprocess.py:106} INFO -  19350K .......... .......... .......... .......... .......... 38%  120M 1s
